Date,Open,High,Low,Close,,,,,,
31/12/2001,"3,422.30","3,422.30","3,422.30","3,422.30",,,,,,
28/12/2001,"3,427.10","3,427.10","3,427.10","3,427.10",,,,,,
27/12/2001,"3,417.60","3,417.60","3,417.60","3,417.60",,,,,,
24/12/2001,"3,390.10","3,390.10","3,390.10","3,390.10",,,,,,
21/12/2001,"3,374.50","3,374.50","3,374.50","3,374.50",,,,,,
20/12/2001,"3,343.90","3,343.90","3,343.90","3,343.90",,,,,,
19/12/2001,"3,324.10","3,324.10","3,324.10","3,324.10",,,,,,
18/12/2001,"3,320.50","3,320.50","3,320.50","3,320.50",,,,,,
17/12/2001,"3,289.60","3,289.60","3,289.60","3,289.60",,,,,,
14/12/2001,"3,290.80","3,290.80","3,290.80","3,290.80",,,,,,
13/12/2001,"3,312.50","3,312.50","3,312.50","3,312.50",,,,,,
12/12/2001,"3,322.10","3,322.10","3,322.10","3,322.10",,,,,,
11/12/2001,"3,359.60","3,359.60","3,359.60","3,359.60",,,,,,
10/12/2001,"3,360.70","3,360.70","3,360.70","3,360.70",,,,,,
7/12/2001,"3,371.80","3,371.80","3,371.80","3,371.80",,,,,,
6/12/2001,"3,352.80","3,352.80","3,352.80","3,352.80",,,,,,
5/12/2001,"3,347.80","3,347.80","3,347.80","3,347.80",,,,,,
4/12/2001,"3,324.40","3,324.40","3,324.40","3,324.40",,,,,,
3/12/2001,"3,328.80","3,328.80","3,328.80","3,328.80",,,,,,
30/11/2001,"3,337.40","3,337.40","3,337.40","3,337.40",,,,,,
29/11/2001,"3,329.50","3,329.50","3,329.50","3,329.50",,,,,,
28/11/2001,"3,353.20","3,353.20","3,353.20","3,353.20",,,,,,
27/11/2001,"3,355.90","3,355.80","3,355.80","3,355.90",,,,,,
26/11/2001,"3,348.50","3,348.50","3,348.50","3,348.50",,,,,,
23/11/2001,"3,332.90","3,332.90","3,332.90","3,332.90",,,,,,
22/11/2001,"3,324.20","3,324.20","3,324.20","3,324.20",,,,,,
21/11/2001,"3,336.30","3,336.30","3,336.30","3,336.30",,,,,,
20/11/2001,"3,353.00","3,353.00","3,353.00","3,353.00",,,,,,
19/11/2001,"3,331.90","3,331.90","3,331.90","3,331.90",,,,,,
16/11/2001,"3,322.50","3,322.50","3,322.50","3,322.50",,,,,,
15/11/2001,"3,344.70","3,344.70","3,344.70","3,344.70",,,,,,
14/11/2001,"3,336.80","3,336.80","3,336.80","3,336.80",,,,,,
13/11/2001,"3,291.70","3,291.70","3,291.70","3,291.70",,,,,,
12/11/2001,"3,305.40","3,305.40","3,305.40","3,305.40",,,,,,
