Date,Open,High,Low,Close
12/31/2004,"4,050.6","4,050.6","4,050.6","4,050.6"
12/30/2004,"4,054.9","4,054.9","4,054.9","4,054.9"
12/29/2004,"4,042.1","4,042.1","4,042.1","4,042.1"
12/24/2004,"4,048.6","4,048.6","4,048.6","4,048.6"
12/23/2004,"4,025.9","4,025.9","4,025.9","4,025.9"
12/22/2004,"4,032.3","4,032.3","4,032.3","4,032.3"
12/21/2004,"4,013.6","4,013.6","4,013.6","4,013.6"
12/20/2004,"3,993.4","3,993.4","3,993.4","3,993.4"
12/17/2004,"3,988.0","3,988.0","3,988.0","3,988.0"
12/16/2004,"3,975.1","3,975.1","3,975.1","3,975.1"
12/15/2004,"3,944.2","3,944.2","3,944.2","3,944.2"
12/14/2004,"3,929.0","3,929.0","3,929.0","3,929.0"
12/13/2004,"3,907.3","3,907.3","3,907.3","3,907.3"
12/10/2004,"3,898.5","3,898.5","3,898.5","3,898.5"
12/09/2004,"3,886.9","3,886.9","3,886.9","3,886.9"
12/08/2004,"3,897.7","3,897.7","3,897.7","3,897.7"
12/07/2004,"3,927.5","3,928.7","3,928.7","3,927.5"
12/06/2004,"3,950.5","3,950.5","3,950.5","3,950.5"
12/03/2004,"3,939.5","3,939.5","3,939.5","3,939.5"
12/02/2004,"3,941.9","3,941.9","3,941.9","3,941.9"
12/01/2004,"3,899.3","3,899.3","3,899.3","3,899.3"
11/30/2004,"3,931.3","3,931.3","3,931.3","3,931.3"
11/29/2004,"3,926.8","3,926.8","3,926.8","3,926.8"
11/26/2004,"3,912.1","3,912.1","3,912.1","3,912.1"
11/25/2004,"3,904.2","3,904.2","3,904.2","3,904.2"
11/24/2004,"3,882.5","3,882.5","3,882.5","3,882.5"
11/23/2004,"3,866.1","3,866.1","3,866.1","3,866.1"
11/22/2004,"3,830.7","3,830.7","3,830.7","3,830.7"
11/19/2004,"3,872.7","3,872.7","3,872.7","3,872.7"
11/18/2004,"3,879.5","3,879.5","3,879.5","3,879.5"
11/17/2004,"3,876.0","3,876.0","3,876.0","3,876.0"
11/16/2004,"3,869.4","3,869.4","3,869.4","3,869.4"
11/15/2004,"3,880.6","3,880.6","3,880.6","3,880.6"
11/12/2004,"3,862.5","3,862.5","3,862.5","3,862.5"
11/11/2004,"3,863.3","3,863.3","3,863.3","3,863.3"
11/10/2004,"3,846.4","3,846.4","3,846.4","3,846.4"
11/09/2004,"3,835.5","3,835.6","3,835.6","3,835.5"
11/08/2004,"3,822.3","3,822.3","3,822.3","3,822.3"
11/05/2004,"3,843.5","3,843.5","3,843.5","3,843.5"
11/04/2004,"3,838.5","3,838.5","3,838.5","3,838.5"
11/03/2004,"3,832.9","3,832.9","3,832.9","3,832.9"
11/02/2004,"3,798.6","3,798.6","3,798.6","3,798.6"
11/01/2004,"3,791.2","3,791.2","3,791.2","3,791.2"
10/29/2004,"3,778.6","3,778.6","3,778.6","3,778.6"
10/28/2004,"3,776.1","3,776.1","3,776.1","3,776.1"
10/27/2004,"3,741.2","3,741.2","3,741.2","3,741.2"
10/26/2004,"3,704.9","3,704.9","3,704.9","3,704.9"
10/25/2004,"3,681.6","3,681.6","3,681.6","3,681.6"
